itemkey,item,category
201104060000000000,Сүү Миний монголын 1л 3.2% тослог Ариутгасан Кальци Уургаар баялаг MNG,Цэвэр сүү
180704149959400000,Талх Ургац 300гр олон үртэй улаанбуудайн амтлаг Та Чи MNG,Талх
180706153232200000,Тамхи Esse change нарийн хагалдаг капсултай гаатай никотин 0.3мг/ш KOR,Янжуур
180604114383000000,Ундаа Coca-Cola Хүслийн Оргилуун 500мл энгийн пет савлагаа MNG,Хийжүүлсэн ундаа
2007121329377,Кофе MacCoffee 3:1 20гр*1ш Сүү сахартай Найруулдаг Ууттай MYS,"3:1 буюу холимог, ширхэгийн кофе"
180604114334600000,Ундаа Coca-Cola Түмний Оргилуун 2л энгийн пет савлагаа MNG,Хийжүүлсэн ундаа
2007121328895,Cүү Миний Монголын 500мл 3.2% тослог Ариутгасан Кальци Уургаар баялаг MNG,Цэвэр сүү
120620429994600000,Эккер 350гр Атархишиг Kid's bakery,Кремтэй гурилан амттан
2007121329381,Бохь Orbit подушечки 13.6гр RUS,Бохь
150930603566800000,"Сүү Дээж 1000 мл 3,2% тослогтой Амин дэмээр баялаг MNG",Цэвэр сүү
199009170000000000,Ундаа Pepsi Оргилуун 500мл пет MNG,Хийжүүлсэн ундаа
120620429994600000,Тэргүүн 450гр Атархишиг Kid's bakery,Кремтэй гурилан амттан
201205090000000000,Бохь Dirol 13.6гр гүзээлзгэнэ интоор RUS,Бохь
2007121329380,Цай MacTea 3:1 18гр*1ш Жимсний амттай Найруулдаг Ууттай MYS,Цай дүрдэг
2007121329180,Жүүс Мульти 500мл Олон жимст витаминт пет савлагаатай MNG,Жимсний холимог жүүс
2007121328749,Талх Атар 600гр чихэргүй уураг  нүүрс ус аминдэм агуулсан Талх чихэр MNG,Талх
2007121332656,Талх Мишээл 600гр Хөх тарианы Илчлэг бага Чихэргүй Зүссэн Талх Чихэр MNG,Талх
200826241374700000,Кола Солонгос Lotte  Enjoy 350мл Оргилуун Лаазтай KOR,Хийжүүлээгүй ундаа
180920233009700000,Цай Хаан1ш жижиглэнгийн  ууттай MNG,Нунтаг цай
2007121332659,Талх Мишээл 600гр В витаминтай зүссэн хөх тарианы чихэртэй Талх чихэр MNG,Талх
160513343594000000,Ус Экос 500мл зөөлөн РH 8.5 пет савлагаатай MNG,Савласан ус
190603577080600000,Кимбаб тахианы махтай MNG,Түргэн хоол
120620429994600000,Кидс бялуу 150гр Атархишиг Kid's bakery,Бялуу
120620429994600000,Нарийн боов Шанзтай Атархишиг Kid's bakery 2708434,Хөөмөл жигнэсэн
190909745530500000,Шоколад ETI Adicto 50гр хар шоколадтай өрмөнцөртэй ТUR,Батончик шоколад
200813226771700000,Шоколад Eti Adicto Milk wafer 50гр сүүтэй шоколад өрмөнцөртэй TUR,Батончик шоколад
220729094054210000,Шоколад Snickers 50гр сүүн шоколад бүрсэн газрын самар карамель RUS,Батончик шоколад
2007121331288,Ундаа Тэрэлж Сэлэнгэ 1.5л Нохойн хошуу Ганга Чихэр өвс агуулсан пет MNG,Хийжүүлсэн ундаа
180706153232200000,Тамхи Esse green нарийн төрлийн гаатай Никотины хэмжээ 0.1мг/ш KOR,Янжуур
160121610393900000,Эклер шоколадтай Атархишиг Kid's bakery 2708434,Кремтэй гурилан амттан
170428381482200000,Бохь Mentos 16гр ролл хэлбэртэй RUS,Бохь
180213012331300000,Кофе Jacobs monarch 12гр ширхэг жижиглэн RUS,"3:1 буюу холимог, ширхэгийн кофе"
210327509663500000,Чипс Orice  95гр ууталж савласан далайн байцаатай цагаан будааны VNM,Чипс
150203456119500000,Ус Оргилуун 500мл Жимсний амттай MNG,Амт оруулсан ус
171030000763800000,Ундаа Coca-Cola Оргилуун 300мл энгийн пет савлагаатай MNG,Хийжүүлсэн ундаа
180327043373200000,Кимбаб будаа хиам бэлэн бүтээгдэхүүн Дүүрэн Фүүдс MNG,Түргэн хоол
180604114351700000,Ундаа Coca cola Бидний Оргилуун 1.25л энгийн пет савлагаа MNG,Хийжүүлсэн ундаа
140224536726700000,"Сүү Цэвэр 1000мл 3,2% тослогтой Амин дэмээр баялаг MNG",Цэвэр сүү
211116153741172000,Цай Хаантан 12гр ширхэгээр хийцтэй сүүтэй нь цайны идээ давс MNG,Цай дүрдэг
2007121334813,Өндөг бор сувилалын 10ш Түмэн шувуут MNG,Тахианы өндөг
2007121329379,Цай MacCereal 3:1 28гр*1ш Сүү сахартай Эрдэнэшишийн Найруулдаг Ууттай MYS,Цай дүрдэг
160826685080700000,Чихэр иштэй Chupa chups 12гр коланы амттай RUS,Иштэй
201207090000000000,Цай Fuze tea Honey Pear 480мл хар цай лийр зөгийн бал амттай MNG,Шингэн цай
220729101436729000,Шоколад батончик Snicker 75гр сүүн шоколад бүрсэн газрын самар карамель RUS,Батончик шоколад
220406222153830000,Тахиан махан буррито 240гр байцаатай Жодоо мод MNG,Түргэн хоол
180706153232200000,Тамхи Raison French black хагалдаг капсултай жимсний никотин 0.8 мг/шKOR,Янжуур
151229506383600000,Төмс 2кг А В аминдэм болон кальци төмрийн агууламжтай цэвэрлэсэн Тээмт MNG,Төмс
170407678293400000,"Тараг Амтлаг 1л Гүзээлзгэнэ жимс 2,5% тослог Ашигт бактери С амин дэм MNG",Уламжлалт тараг
151229527874800000,Лууван 500гр Шинэ А витаминаар баялаг калийг агуулдаг угаасан Тээмт MNG,Лууван
151229527874800000,Лууван 500гр Шинэ А витаминаар баялаг калийг агуулдаг угаасан Тээмт MNG,